Gene	sgRNA	Comparison_1|beta	Comparison_1|z	Comparison_1|p-value	Comparison_1|fdr	Comparison_1|wald-p-value	Comparison_1|wald-fdr	Comparison_2|beta	Comparison_2|z	Comparison_2|p-value	Comparison_2|fdr	Comparison_2|wald-p-value	Comparison_2|wald-fdr	Comparison_3|beta	Comparison_3|z	Comparison_3|p-value	Comparison_3|fdr	Comparison_3|wald-p-value	Comparison_3|wald-fdr
CLC	10	-0.031882	-0.40663	0.75334	0.90346	0.68428	0.99951	0.014467	0.18459	0.81533	0.90883	0.85355	0.95582	0.0077699	0.098771	0.56995	0.81227	0.92132	0.97372
GRIK3	10	0.03651	0.29639	0.29272	0.59754	0.76693	0.99951	0.070871	0.5759	0.2811	0.52861	0.56468	0.84724	-0.14188	-1.1425	0.063711	0.32527	0.25324	0.52634
METAP1	10	-0.33793	-1.5807	0	0	0.11395	0.85667	-0.76852	-3.585	0	0	0.00033712	0.0048642	-0.28176	-1.3064	0.0017219	0.037037	0.19142	0.4556
ABAT	10	-0.061071	-0.76039	0.37021	0.66667	0.44702	0.99951	-0.037553	-0.46791	0.58846	0.78204	0.63985	0.89182	0.10354	1.2843	0.84503	0.93682	0.19903	0.46442
ACAT1	10	-0.039275	-0.40785	0.64529	0.85861	0.68338	0.99951	0.0089221	0.092709	0.87086	0.93226	0.92614	0.97836	0.12359	1.2798	0.72923	0.90016	0.20063	0.46562
TRIM24	10	0.002858	0.041679	0.72622	0.89118	0.96675	0.99951	0.10916	1.5935	0.09901	0.29449	0.11105	0.4134	0.054021	0.78377	0.84718	0.93682	0.43318	0.70368
ITGAL	10	0.01162	0.12781	0.58588	0.81497	0.8983	0.99951	0.033534	0.36895	0.59836	0.786	0.71217	0.91502	-0.15441	-1.6926	0.047783	0.28109	0.090531	0.30479
ETFDH	10	0.004753	0.062874	0.69393	0.87648	0.94987	0.99951	0.06055	0.80115	0.35945	0.60683	0.42305	0.76866	-0.17383	-2.2938	0.031425	0.22393	0.021804	0.13573
HMGCS1	10	-0.60708	-4.4254	0	0	9.6261e-06	0.0024846	-0.8193	-5.9698	0	0	2.3759e-09	2.0858e-07	-0.49228	-3.5537	0	0	0.00037979	0.0084025
CYP4A11	10	-0.079904	-0.95045	0.20491	0.49635	0.34189	0.99951	-0.062348	-0.74217	0.38269	0.62827	0.45798	0.7844	0.016185	0.19168	0.61903	0.8434	0.84799	0.94868
CIB2	10	0.021674	0.2637	0.452	0.73222	0.79201	0.99951	0.00075939	0.0092409	0.98235	0.99217	0.99263	0.99993	0.19256	2.3392	0.38915	0.71115	0.019324	0.12567
CDK12	10	-0.28066	-2.4024	0	0	0.016288	0.28236	-0.40189	-3.4419	0	0	0.00057761	0.0076238	-0.11622	-0.98761	0.10461	0.41117	0.32334	0.6038
STK11IP	10	0.069394	0.78981	0.088678	0.3438	0.42964	0.99951	0.12287	1.4001	0.059836	0.21821	0.16147	0.50014	-0.023738	-0.26779	0.41455	0.7301	0.78886	0.91672
GSTK1	10	0.034833	0.55817	0.30908	0.60899	0.57673	0.99951	0.011434	0.18325	0.85019	0.92679	0.8546	0.95582	0.13293	2.1255	0.67628	0.88123	0.033547	0.17833
PPAP2C	10	-0.067371	-1.0117	0.3022	0.60258	0.31169	0.99951	-0.018866	-0.28333	0.78304	0.89123	0.77692	0.93464	-0.26101	-3.9131	0.0047353	0.08209	9.1132e-05	0.0031132
STK32A	10	0.0065477	0.11425	0.66337	0.8612	0.90904	0.99951	0.088466	1.5457	0.18467	0.42383	0.12217	0.43539	-0.25009	-4.3132	0.0051657	0.082759	1.609e-05	0.00084948
PKDCC	10	-0.013121	-0.081807	0.9449	0.98563	0.9348	0.99951	0.042815	0.26724	0.51227	0.73671	0.78929	0.93811	0.26468	1.6438	0.16659	0.51463	0.10021	0.31802
SCN2B	10	0.024471	0.33703	0.42187	0.71169	0.73609	0.99951	0.074527	1.0268	0.25915	0.51102	0.30451	0.68648	-0.17799	-2.4418	0.029703	0.22115	0.014615	0.10661
CNKSR1	10	-0.062309	-0.61084	0.35471	0.65071	0.5413	0.99951	-0.096381	-0.94583	0.17434	0.41159	0.34423	0.72041	0.32615	3.1841	0.067585	0.33122	0.0014519	0.022886
CHRNA4	10	-0.085228	-1.5165	0.17133	0.45434	0.12939	0.89731	-0.090544	-1.6116	0.19888	0.43875	0.10705	0.40046	-0.12682	-2.2504	0.085665	0.37523	0.024422	0.14436
MAP4K5	10	0.074291	0.72069	0.070598	0.30597	0.4711	0.99951	0.12248	1.1896	0.060267	0.21909	0.2342	0.60912	0.16819	1.619	0.49806	0.77808	0.10544	0.3244
KIF5B	10	0.051465	0.76032	0.17047	0.45309	0.44706	0.99951	0.14342	2.1197	0.027551	0.13142	0.03403	0.20115	0.0072576	0.10692	0.56737	0.81227	0.91485	0.97147
FDXR	10	-0.065666	-0.78828	0.31726	0.61686	0.43053	0.99951	-0.23306	-2.7977	0.0030133	0.023569	0.0051473	0.047261	0.026061	0.31163	0.68747	0.88148	0.75532	0.89746
PSKH1	10	0.00057561	0.0058972	0.7585	0.90542	0.99529	0.99972	0.068898	0.70608	0.29703	0.54118	0.48014	0.79726	-0.23449	-2.3943	0.0073181	0.097701	0.016652	0.11512
RPL8	10	-0.45665	-3.5614	0	0	0.00036886	0.023688	-0.47262	-3.6941	0	0	0.00022063	0.0033065	-0.75866	-5.7463	0	0	9.1242e-09	4.6158e-06
EGLN2	10	-0.057133	-0.66938	0.41369	0.70644	0.50325	0.99951	-0.066943	-0.78497	0.34826	0.59354	0.43247	0.77338	0.017001	0.1982	0.62462	0.84656	0.84289	0.945
NDST1	10	-0.12383	-1.751	0.048644	0.2489	0.079951	0.76747	-0.211	-2.9836	0.0073181	0.050746	0.0028486	0.028896	0.062911	0.88858	0.89884	0.9578	0.37423	0.65802
AKAP12	10	-0.057832	-0.43341	0.40508	0.69881	0.66471	0.99951	-0.13818	-1.0358	0.064572	0.22831	0.3003	0.68648	0.41712	3.1229	0.013345	0.15049	0.001791	0.026332
BPHL	10	-0.02693	-0.32629	0.82652	0.92441	0.7442	0.99951	0.00054649	0.0066277	0.98364	0.99305	0.99471	0.99993	0.091336	1.1008	0.91175	0.96142	0.27097	0.54079
APOH	10	0.016136	0.32194	0.5226	0.77572	0.7475	0.99951	0.091089	1.8178	0.17176	0.40984	0.069092	0.31165	-0.20901	-4.1589	0.015067	0.16204	3.1981e-05	0.0015162
ZMYND8	10	-0.10974	-0.64915	0.082652	0.33103	0.51624	0.99951	-0.099367	-0.58907	0.16186	0.39704	0.55582	0.84219	-0.0083828	-0.049077	0.483	0.76797	0.96086	0.98828
MAPK14	10	-0.30618	-3.0302	0	0	0.0024437	0.073603	-0.75046	-7.4153	0	0	1.2137e-13	4.699e-11	0.018817	0.18565	0.63711	0.85747	0.85272	0.95057
KCNK1	10	-0.020359	-0.24797	0.94232	0.98515	0.80416	0.99951	-0.084756	-1.0331	0.2359	0.48453	0.30155	0.68648	0.14047	1.7002	0.62979	0.85058	0.089095	0.30259
TRPM6	10	-4.2858e-05	-0.00072002	0.76367	0.90603	0.99943	1	0.013277	0.22307	0.82695	0.91393	0.82348	0.95353	-0.093125	-1.5633	0.15755	0.50273	0.11798	0.34635
SLC2A2	10	0.025488	0.24082	0.41025	0.7054	0.80969	0.99951	0.076442	0.7226	0.24796	0.49827	0.46993	0.79286	0.054702	0.51528	0.84933	0.93682	0.60636	0.81782
SGK223	10	-0.12268	-1.6298	0.049935	0.25054	0.10314	0.83424	-0.16285	-2.1645	0.030133	0.13752	0.030429	0.18645	0.19493	2.5835	0.37925	0.70447	0.0097817	0.084641
CA8	10	0.055193	0.67519	0.15067	0.42271	0.49955	0.99951	0.13648	1.6702	0.03573	0.15342	0.094883	0.37485	0.01068	0.13032	0.5876	0.82278	0.89632	0.96574
NARS	10	-0.54278	-4.2897	0	0	1.7888e-05	0.0030112	-0.7493	-5.9208	0	0	3.2028e-09	2.4801e-07	-0.63771	-5.0106	0	0	5.4273e-07	5.7307e-05
CANT1	10	-0.059288	-0.77809	0.38958	0.68148	0.43652	0.99951	-0.10793	-1.4167	0.13	0.34354	0.15658	0.49021	0.10313	1.3515	0.84546	0.93682	0.17653	0.43212
MMP25	10	0.03572	0.36089	0.3009	0.60103	0.71818	0.99951	-0.026969	-0.27253	0.69307	0.83898	0.78522	0.93589	0.12738	1.2841	0.71072	0.89346	0.19912	0.46442
CDK8	10	-0.10754	-1.6206	0.087387	0.34003	0.1051	0.83614	-0.20129	-3.0349	0.0094705	0.060606	0.0024064	0.025642	-0.073437	-1.1003	0.22127	0.57883	0.27121	0.5408
TAS1R2	10	-0.043222	-0.56628	0.58975	0.81559	0.5712	0.99951	0.015344	0.20112	0.80112	0.90121	0.8406	0.95582	-0.20548	-2.6797	0.01808	0.18565	0.0073687	0.070162
PRKCE	10	0.071675	1.1978	0.077486	0.31972	0.23098	0.99951	0.17138	2.8651	0.010331	0.065217	0.0041689	0.040053	-0.25007	-4.1623	0.0051657	0.082759	3.1503e-05	0.0015162
LRAT	10	-0.02485	-0.33711	0.86182	0.94523	0.73603	0.99951	-0.03714	-0.50407	0.59148	0.7838	0.61421	0.87588	-0.083774	-1.131	0.18252	0.53	0.25804	0.5286
ENO3	10	-0.024317	-0.27473	0.87301	0.95301	0.78353	0.99951	-0.01387	-0.15679	0.84201	0.92177	0.87541	0.96119	0.083886	0.94382	0.95824	0.98322	0.34526	0.62561
JAK3	10	-0.042697	-0.44247	0.59664	0.82158	0.65815	0.99951	-0.046403	-0.48096	0.50151	0.73132	0.63055	0.88548	0.043211	0.44716	0.7895	0.91746	0.65476	0.84244
PAH	10	-0.091753	-1.2139	0.13603	0.39924	0.2248	0.99951	-0.079917	-1.0574	0.26173	0.51135	0.29034	0.67597	-0.14895	-1.968	0.05381	0.29904	0.049065	0.21666
PTPN11	10	-0.62266	-4.7198	0	0	2.3604e-06	0.00078331	-0.8291	-6.2827	0	0	3.3271e-10	4.0678e-08	-0.46297	-3.4856	0	0	0.00049097	0.01056
CDK5R2	10	-0.091161	-0.71621	0.13904	0.40349	0.47386	0.99951	-0.10003	-0.78703	0.16057	0.39429	0.43127	0.77299	0.31206	2.4419	0.081791	0.37037	0.014609	0.10661
TUFM	10	-0.13162	-1.491	0.035299	0.19759	0.13596	0.9128	-0.34972	-3.9611	0	0	7.4603e-05	0.0012837	-0.32017	-3.6055	0.00043048	0.011494	0.00031153	0.0076178
SLC25A15	10	-0.080717	-0.90663	0.20103	0.49366	0.3646	0.99951	-0.10916	-1.2261	0.12742	0.34259	0.22015	0.59813	0.10103	1.1343	0.86053	0.9382	0.25665	0.52714
PPP2R5E	10	-0.010994	-0.10993	0.91735	0.9735	0.91247	0.99951	0.03162	0.31679	0.61989	0.79657	0.7514	0.93104	-0.1931	-1.9012	0.023676	0.20599	0.057274	0.23342
CRP	10	0.041684	0.25512	0.24279	0.54231	0.79863	0.99951	0.0015717	0.0096279	0.97159	0.98731	0.99232	0.99993	-0.014815	-0.089736	0.4576	0.75798	0.9285	0.97759
CAPNS1	10	0.021925	0.28438	0.44899	0.73039	0.77612	0.99951	0.1419	1.8414	0.029272	0.13573	0.065561	0.30467	-0.13809	-1.7838	0.067155	0.33121	0.074453	0.27024
INS	6	-0.048386	-0.47651	0.62075	0.83837	0.63371	0.99951	-0.036671	-0.3612	0.70469	0.84556	0.71795	0.91646	0.13882	1.3655	0.70125	0.88998	0.17209	0.42437
PFKP	10	0.067819	1.0108	0.094705	0.35484	0.31212	0.99951	0.1436	2.1403	0.027551	0.13142	0.03233	0.19406	-0.18901	-2.8143	0.025829	0.21277	0.0048886	0.054861
NEK2	10	-0.11304	-1.319	0.072751	0.31066	0.18717	0.99473	-0.1618	-1.8884	0.030564	0.13894	0.058967	0.28537	-0.11503	-1.3371	0.10633	0.41374	0.1812	0.438
MGST2	10	-0.019988	-0.30809	0.94748	0.987	0.75802	0.99951	-0.086188	-1.3287	0.22772	0.47572	0.18394	0.54642	0.12782	1.9661	0.70684	0.89142	0.04929	0.21666
BHMT	10	-0.098424	-1.0835	0.11537	0.37588	0.27858	0.99951	-0.16395	-1.8059	0.029703	0.13636	0.070934	0.31567	0.042164	0.46162	0.78175	0.91671	0.64435	0.83915
PPTC7	10	0.032077	0.27758	0.32975	0.62633	0.78133	0.99951	0.062343	0.53983	0.34653	0.59148	0.58931	0.86425	-0.017399	-0.1498	0.44339	0.7471	0.88092	0.95732
CACNB2	10	0.084938	0.8319	0.044339	0.23146	0.40546	0.99951	0.13857	1.3578	0.034008	0.14878	0.17454	0.52656	-0.025928	-0.25289	0.40422	0.7212	0.80035	0.91995
ENPEP	10	0.055939	0.78618	0.14808	0.41798	0.43176	0.99951	0.028379	0.39891	0.65691	0.82309	0.68996	0.90728	-0.011399	-0.1598	0.47008	0.76098	0.87304	0.9558
TARS	10	-0.34467	-2.7421	0	0	0.0061043	0.14771	-0.47674	-3.7932	0	0	0.00014872	0.0023826	0.225	1.7879	0.26905	0.63452	0.073793	0.26911
FCGR3A	10	-0.051481	-0.59519	0.47525	0.74595	0.55172	0.99951	-0.041905	-0.48463	0.54585	0.75883	0.62794	0.88413	0.088271	1.0183	0.93241	0.9735	0.30852	0.5862
ADRB3	10	-0.039885	-0.37569	0.63668	0.85098	0.70715	0.99951	-0.032096	-0.30237	0.64098	0.81056	0.76237	0.93241	-0.025407	-0.239	0.40723	0.72379	0.8111	0.92498
PPP1R1B	10	0.026016	0.25524	0.40034	0.69248	0.79853	0.99951	-0.021466	-0.21062	0.75334	0.87588	0.83318	0.95402	0.08709	0.85317	0.94232	0.97683	0.39356	0.67522
MTMR12	10	-0.11124	-1.0305	0.076195	0.3172	0.30277	0.99951	-0.080678	-0.7477	0.25872	0.51062	0.45464	0.78388	0.03656	0.33789	0.74645	0.9062	0.73545	0.88993
PIK3C2G	10	-0.014704	-0.1412	0.96599	0.98985	0.88772	0.99951	-0.00018848	-0.0018129	0.99182	0.99697	0.99855	1	0.18645	1.7755	0.41369	0.72969	0.075823	0.27341
DGKA	10	-0.060284	-0.56842	0.37839	0.67124	0.56975	0.99951	0.066207	0.62469	0.31511	0.55623	0.53217	0.82887	-0.03641	-0.34203	0.3573	0.68931	0.73233	0.88789
TK1	10	-0.20326	-1.8879	0.00086096	0.010638	0.059043	0.67388	-0.45958	-4.2663	0	0	1.9877e-05	0.00041598	-0.054792	-0.50608	0.28368	0.64643	0.6128	0.82201
ITPKB	10	-0.019141	-0.13863	0.96599	0.98985	0.88974	0.99951	-0.0050264	-0.036444	0.94447	0.96994	0.97093	0.99229	0.036464	0.26235	0.74645	0.9062	0.79305	0.9179
CKB	10	0.00094875	0.015642	0.7542	0.90402	0.98752	0.99951	0.082566	1.3616	0.21653	0.46062	0.17334	0.52565	-0.019157	-0.31544	0.43349	0.74263	0.75243	0.89739
BTK	10	0.024403	0.31721	0.4223	0.7119	0.75108	0.99951	0.013883	0.18053	0.82221	0.91344	0.85674	0.95626	0.10895	1.4114	0.81145	0.92629	0.15814	0.40714
ACACB	10	0.064626	0.60924	0.10719	0.37054	0.54236	0.99951	0.053171	0.50145	0.41756	0.66438	0.61605	0.87614	0.011039	0.10366	0.58932	0.82466	0.91744	0.97267
HK3	10	-0.055622	-0.42734	0.43263	0.7194	0.66913	0.99951	-0.0084567	-0.065044	0.90185	0.95014	0.94814	0.98292	0.062462	0.47709	0.89669	0.95638	0.6333	0.83304
NFS1	10	-0.44921	-3.085	0	0	0.0020355	0.064773	-0.61053	-4.193	0	0	2.7529e-05	0.00054658	-0.21605	-1.477	0.011192	0.13065	0.13967	0.38087
FGGY	10	0.053159	0.86469	0.16272	0.44262	0.38721	0.99951	0.078781	1.2817	0.2359	0.48453	0.19996	0.56648	0.01008	0.1637	0.58502	0.82214	0.86997	0.9558
PDPK1	10	-0.14505	-1.3077	0.020663	0.13994	0.19099	0.99473	-0.35803	-3.2274	0	0	0.0012493	0.014731	0.061137	0.55016	0.88851	0.95247	0.58221	0.80075
SIGMAR1	10	-0.099135	-1.1413	0.11279	0.37536	0.25373	0.99951	-0.083204	-0.95815	0.24322	0.49259	0.33798	0.71506	-0.010523	-0.12091	0.47223	0.7621	0.90376	0.96871
HIBADH	10	-0.0092926	-0.094353	0.89152	0.96175	0.92483	0.99951	0.023785	0.24161	0.70168	0.84325	0.80908	0.94876	0.25284	2.5617	0.19372	0.54426	0.010415	0.085569
AGTR2	10	-0.031465	-0.27957	0.76281	0.90547	0.7798	0.99951	0.0037473	0.033311	0.94102	0.9694	0.97343	0.99289	0.10601	0.93922	0.82953	0.93589	0.34762	0.62793
DUSP21	10	0.037046	0.49487	0.28541	0.58986	0.62069	0.99951	0.11868	1.5864	0.069737	0.23964	0.11264	0.41734	-0.16034	-2.1309	0.041756	0.26075	0.033095	0.17755
PIP5K1A	10	-0.043776	-0.37687	0.5833	0.81475	0.70627	0.99951	-0.078906	-0.68018	0.26862	0.51784	0.49639	0.80915	-0.027678	-0.23575	0.39346	0.71184	0.81363	0.92568
GIT2	10	0.0012354	0.012329	0.74946	0.90217	0.99016	0.99951	0.0012448	0.01244	0.97632	0.98781	0.99007	0.99992	0.029759	0.29457	0.70986	0.89328	0.76832	0.90142
MKNK1	10	-0.0030225	-0.024137	0.80499	0.91946	0.98074	0.99951	0.01795	0.14344	0.77012	0.88593	0.88594	0.96209	0.086982	0.69206	0.94318	0.97683	0.4889	0.74133
PTPRM	10	-0.028994	-0.45177	0.79983	0.91946	0.65144	0.99951	0.0096119	0.14982	0.86268	0.9292	0.88091	0.96119	-0.15525	-2.4099	0.046061	0.27506	0.015955	0.11268
TESK1	10	-0.16752	-1.653	0.0060267	0.05364	0.098338	0.81878	-0.24592	-2.427	0.0012914	0.010714	0.015225	0.11157	0.11707	1.1528	0.76281	0.91012	0.249	0.52489
IRAK3	10	-0.058876	-0.74672	0.39518	0.68713	0.45523	0.99951	-0.045398	-0.57621	0.50882	0.73524	0.56447	0.84724	0.055056	0.69467	0.84976	0.93682	0.48726	0.74078
AK3	10	-0.10068	-0.79988	0.10805	0.3713	0.42378	0.99951	-0.1971	-1.5668	0.012053	0.072727	0.11716	0.42726	0.17326	1.3679	0.47223	0.7621	0.17134	0.42347
PIPOX	10	-0.0034308	-0.036804	0.81016	0.91946	0.97064	0.99951	0.065361	0.70135	0.32071	0.56015	0.48308	0.79986	-0.054591	-0.58437	0.28412	0.64643	0.55897	0.79062
RABGGTA	10	-0.20628	-2.016	0.00086096	0.010638	0.043804	0.59022	-0.41259	-4.0319	0	0	5.5328e-05	0.001012	-0.21149	-2.0611	0.013775	0.15459	0.039297	0.19259
TNK2	10	0.047533	0.51026	0.1963	0.48927	0.60987	0.99951	0.13728	1.4741	0.034869	0.15028	0.14045	0.4641	-0.050123	-0.53666	0.30349	0.66478	0.5915	0.80854
PYGL	10	-0.062549	-0.73781	0.35084	0.64837	0.46063	0.99951	-0.085671	-1.0109	0.23117	0.47861	0.31206	0.69503	-0.057182	-0.67184	0.27249	0.63627	0.50168	0.75228
PYCRL	10	0.0030201	0.043758	0.72406	0.89042	0.9651	0.99951	0.044941	0.65126	0.48773	0.7235	0.51488	0.8213	-0.09885	-1.4293	0.13991	0.47033	0.15292	0.40154
GABRB2	10	-0.029362	-0.38388	0.79294	0.91551	0.70107	0.99951	-0.088597	-1.1584	0.20921	0.45042	0.24669	0.62561	0.11907	1.5544	0.75764	0.90876	0.12008	0.35131
SLC16A4	10	0.038175	0.42267	0.27637	0.57786	0.67254	0.99951	0.043453	0.48177	0.50495	0.73221	0.62997	0.88548	-0.078338	-0.85966	0.20448	0.5553	0.38998	0.67155
NME2	10	-0.091423	-0.81683	0.13732	0.40075	0.41402	0.99951	-0.095161	-0.85079	0.1808	0.42042	0.39489	0.74605	-0.0018634	-0.016602	0.51657	0.7838	0.98675	0.99245
GABRP	10	-0.076169	-0.98481	0.23246	0.52786	0.32472	0.99951	-0.13518	-1.7485	0.069737	0.23964	0.080382	0.33827	-0.03619	-0.46588	0.35816	0.68931	0.6413	0.83743
HTR3A	10	-0.050401	-0.70257	0.49031	0.75713	0.48232	0.99951	0.039516	0.55085	0.53982	0.75405	0.58174	0.85966	-0.044434	-0.61926	0.32673	0.67524	0.53574	0.77638
SLC22A11	10	0.041869	0.40085	0.24107	0.54002	0.68853	0.99951	0.096148	0.92138	0.14593	0.3709	0.35685	0.72909	0.055009	0.52352	0.84933	0.93682	0.60061	0.81511
SLC9A1	10	-0.10952	-1.4427	0.082652	0.33103	0.14909	0.9287	-0.20135	-2.6529	0.0094705	0.060606	0.0079792	0.066916	0.12508	1.6441	0.72363	0.89941	0.10016	0.31802
PHKG2	10	-0.0092169	-0.091581	0.89023	0.96141	0.92703	0.99951	0.015459	0.15368	0.80069	0.90116	0.87787	0.96119	0.07767	0.76911	0.99699	0.99785	0.44183	0.71177
MAP3K3	10	0.14226	1.741	0.00043048	0.0058824	0.08169	0.7714	0.16721	2.0485	0.011192	0.068241	0.040513	0.22187	-0.14624	-1.7687	0.058545	0.3185	0.076942	0.27583
GAD1	10	0.012909	0.20283	0.57167	0.81373	0.83927	0.99951	0.028181	0.44284	0.6582	0.82337	0.65788	0.89268	-0.051976	-0.81581	0.2966	0.66251	0.41461	0.69255
TUBA1B	10	-0.1917	-1.2995	0.0025829	0.029126	0.19377	0.99473	-0.21483	-1.4585	0.0068876	0.04908	0.1447	0.47143	0.038417	0.25822	0.75764	0.90876	0.79624	0.91885
FAAH	10	-0.14745	-1.6264	0.01808	0.12805	0.10386	0.83424	-0.14911	-1.646	0.047353	0.18803	0.099762	0.3834	-0.079879	-0.87578	0.19802	0.54567	0.38115	0.66422
BMPR1B	10	0.058414	0.56612	0.1356	0.39924	0.57131	0.99951	0.011533	0.11184	0.84847	0.92666	0.91095	0.97037	0.063672	0.61332	0.90357	0.95932	0.53967	0.77839
TPSAB1	8	0.064984	0.5222	0.13087	0.39481	0.60153	0.99951	0.084236	0.67767	0.2557	0.50683	0.49798	0.80971	-0.36734	-2.9314	0.0012914	0.029412	0.0033748	0.042607
RYR1	10	-0.11261	-1.0196	0.075334	0.31588	0.30791	0.99951	-0.097079	-0.8802	0.17219	0.40984	0.37875	0.73776	-0.064994	-0.58376	0.24925	0.61205	0.55938	0.79062
NNMT	10	-0.028248	-0.53207	0.80672	0.91946	0.59468	0.99951	-0.057462	-1.0825	0.41885	0.66507	0.27904	0.66009	-0.060478	-1.1372	0.26087	0.62539	0.25547	0.52659
NME4	10	0.022341	0.22301	0.44641	0.72823	0.82353	0.99951	0.06013	0.60043	0.36375	0.61039	0.54822	0.83939	0.060024	0.59764	0.88033	0.94852	0.55008	0.78588
IFNGR2	10	0.042196	0.4661	0.23805	0.53475	0.64114	0.99951	0.078073	0.86355	0.23762	0.48549	0.38784	0.74213	-0.26329	-2.8664	0.0043048	0.078125	0.0041513	0.049201
SCNN1B	10	-0.055888	-0.54809	0.42919	0.71695	0.58363	0.99951	-0.026941	-0.26441	0.6935	0.83906	0.79146	0.93824	0.19904	1.9454	0.35859	0.68957	0.051725	0.22007
CACNA1D	10	-0.038687	-0.33645	0.65433	0.8612	0.73653	0.99951	0.039977	0.34808	0.53638	0.75151	0.72778	0.91883	-0.15973	-1.3761	0.041756	0.26075	0.16879	0.42073
GLA	10	0.051508	0.57859	0.17004	0.45246	0.56287	0.99951	0.099644	1.122	0.13043	0.34354	0.26185	0.64347	0.064462	0.71608	0.90917	0.96131	0.47394	0.7329
ACOX1	10	-0.032742	-0.43933	0.74128	0.89687	0.66043	0.99951	-0.13584	-1.8234	0.068446	0.23838	0.068236	0.3102	0.073424	0.97988	0.96944	0.98902	0.32715	0.60797
GFER	10	-0.30705	-2.5347	0	0	0.011253	0.21253	-0.68224	-5.6288	0	0	1.8144e-08	1.0342e-06	0.10237	0.8442	0.85278	0.93682	0.39856	0.68057
PPIH	10	-0.13498	-2.3175	0.030564	0.17884	0.020475	0.3323	-0.32663	-5.6077	0	0	2.0504e-08	1.1077e-06	-0.041875	-0.71777	0.3362	0.67913	0.4729	0.7329
MAP3K1	10	-0.11796	-1.6954	0.059836	0.2747	0.090007	0.80109	-0.11732	-1.6868	0.10461	0.30299	0.091649	0.36906	0.085212	1.2222	0.95136	0.98091	0.22161	0.49548
CEL	10	0.031984	0.31556	0.32975	0.62633	0.75234	0.99951	0.16461	1.6279	0.012484	0.07513	0.10355	0.39305	-0.060681	-0.59274	0.26044	0.625	0.55336	0.78814
CTLA4	10	0.019265	0.36765	0.47654	0.74596	0.71314	0.99951	0.022423	0.42796	0.71588	0.8502	0.66868	0.89427	-0.18235	-3.4729	0.027551	0.21477	0.00051494	0.010974
BRDT	10	0.027225	0.35731	0.38571	0.67776	0.72086	0.99951	-0.023263	-0.30554	0.73396	0.86329	0.75996	0.93241	0.087321	1.1376	0.94102	0.97683	0.25527	0.52659
NDUFS6	10	-0.19284	-2.4435	0.0021524	0.025	0.014546	0.25993	-0.23386	-2.9666	0.0030133	0.023569	0.0030116	0.030417	0.031	0.39005	0.71545	0.89547	0.6965	0.86741
HAO2	10	0.0089957	0.13498	0.62419	0.84009	0.89263	0.99951	0.018254	0.27392	0.76668	0.88519	0.78414	0.93589	-0.1121	-1.68	0.11106	0.4202	0.092951	0.31024
YARS2	10	-0.18144	-1.0158	0.0038743	0.038961	0.3097	0.99951	-0.52233	-2.9179	0	0	0.0035241	0.034689	-0.049971	-0.27661	0.30392	0.66478	0.78208	0.91158
PTPDC1	10	-0.0034346	-0.043651	0.81016	0.91946	0.96518	0.99951	-0.047699	-0.60649	0.4929	0.72606	0.54419	0.83829	0.059834	0.75707	0.87774	0.94617	0.44901	0.71736
MYLK	10	-0.12663	-1.4918	0.042187	0.22477	0.13575	0.9128	-0.17136	-2.0189	0.024107	0.1194	0.043499	0.23337	0.14655	1.7257	0.5932	0.82466	0.084399	0.29414
CYB5R1	10	0.063578	0.90091	0.11063	0.37409	0.36763	0.99951	0.069836	0.98987	0.28799	0.53514	0.32224	0.70204	-0.19741	-2.7835	0.022385	0.19847	0.0053779	0.058827
TUBA4A	10	-0.059758	-0.81508	0.38097	0.67198	0.41503	0.99951	-0.096215	-1.3126	0.17477	0.41176	0.1893	0.55009	-0.038987	-0.53037	0.34826	0.68443	0.59586	0.81231
SLC18A2	10	-0.09771	-1.0219	0.11709	0.3783	0.30682	0.99951	-0.11552	-1.2089	0.10934	0.309	0.2267	0.60292	0.248	2.587	0.20491	0.5553	0.0096812	0.084641
FCGR1B	7	-0.20455	-2.4611	0.0060267	0.05364	0.013851	0.25137	-0.1588	-1.9116	0.076195	0.2539	0.055928	0.2801	-0.15118	-1.8128	0.12269	0.44618	0.069869	0.26336
PCK1	10	-0.045934	-0.33972	0.54628	0.79862	0.73406	0.99951	0.0041451	0.030685	0.935	0.96796	0.97552	0.99355	-0.091141	-0.67086	0.16272	0.50875	0.50231	0.75228
MAPK12	10	0.0050641	0.049594	0.68747	0.87582	0.96045	0.99951	0.018738	0.18372	0.76281	0.88259	0.85423	0.95582	-0.024967	-0.24251	0.40895	0.72574	0.80839	0.92358
ATOX1	7	-0.065511	-0.7404	0.42962	0.71695	0.45906	0.99951	-0.070325	-0.79494	0.40637	0.65193	0.42665	0.76966	0.0044731	0.050477	0.66251	0.87443	0.95974	0.98828
SLC19A2	10	-0.034127	-0.36889	0.71761	0.8867	0.71221	0.99951	-0.017152	-0.18547	0.80844	0.90607	0.85286	0.95582	0.030731	0.33119	0.71459	0.89536	0.7405	0.89346
PPP3CA	10	0.033487	0.16192	0.31812	0.61686	0.87137	0.99951	0.068062	0.32932	0.30176	0.54638	0.74191	0.92601	0.44825	2.1634	0.0073181	0.097701	0.030507	0.16833
