Gene	sgRNA	Comparison_4|beta	Comparison_4|z	Comparison_4|p-value	Comparison_4|fdr	Comparison_4|wald-p-value	Comparison_4|wald-fdr
MGST1	10	-0.045496	-0.70203	0.65045	0.9961	0.48266	0.93126
CA13	10	-0.0024682	-0.029474	0.96255	0.9965	0.97649	0.99869
RCVRN	10	0.059043	0.79226	0.56866	0.9961	0.42821	0.92978
PTPN13	10	-0.010875	-0.13707	0.89625	0.9965	0.89098	0.99498
LTA4H	10	-0.12182	-1.1634	0.23935	0.93919	0.24466	0.87765
SARS	10	-0.58268	-3.7546	0	0	0.00017363	0.13444
RXRG	10	0.018927	0.2938	0.86741	0.9961	0.76891	0.97983
PHKA1	10	0.010299	0.10847	0.94447	0.9965	0.91362	0.99649
CMAS	10	0.19205	2.0858	0.06328	0.72857	0.037001	0.66586
PPM1D	10	0.0022418	0.03007	0.99483	0.99871	0.97601	0.99869
GLIPR2	10	-0.10297	-1.3701	0.32372	0.99209	0.17065	0.82859
COMP	10	-0.05802	-0.5198	0.56909	0.9961	0.6032	0.95942
PIP4K2A	10	0.10056	1.4472	0.33018	0.9961	0.14783	0.82859
IRAK1	10	0.0029474	0.03533	0.99742	0.99871	0.97182	0.99869
SMOX	10	-0.14938	-1.2672	0.15497	0.86635	0.20509	0.86343
PDK4	10	-0.096079	-1.3116	0.35859	0.9961	0.18967	0.84388
UGCG	10	-0.16756	-1.4988	0.11365	0.79758	0.13391	0.82859
HSPB8	10	-0.1115	-1.2321	0.28541	0.97932	0.21793	0.86446
ZFY	10	0.043414	0.54919	0.68403	0.9961	0.58288	0.95942
DCTD	10	-0.067266	-0.6646	0.51313	0.9961	0.50631	0.93818
SLC12A4	10	-0.082075	-1.664	0.43607	0.9961	0.096122	0.74663
STK3	10	-0.0025025	-0.027127	0.96212	0.9965	0.97836	0.99869
MARK1	10	-0.063477	-0.55481	0.53638	0.9961	0.57902	0.95942
G6PC3	10	-0.067751	-0.65791	0.51055	0.9961	0.5106	0.93987
NQO2	10	0.016206	0.14252	0.88894	0.9965	0.88667	0.99498
PAK6	10	0.042629	0.36185	0.6892	0.9961	0.71746	0.97983
IL6R	10	0.012202	0.11804	0.92897	0.9965	0.90603	0.99649
CHM	10	0.041204	0.35058	0.69867	0.9961	0.7259	0.97983
AKAP3	10	-0.1384	-1.1352	0.18554	0.87247	0.25629	0.87765
ACVR1B	10	0.037208	0.34941	0.72406	0.9961	0.72678	0.97983
C17orf75	10	0.057381	0.52819	0.58201	0.9961	0.59737	0.95942
STRADA	10	0.03083	0.34617	0.77271	0.9961	0.72921	0.97983
ALAS1	10	0.02558	0.33221	0.81748	0.9961	0.73973	0.97983
CHRNA1	10	-0.0026797	-0.028179	0.96169	0.9965	0.97752	0.99869
VKORC1L1	10	0.056239	0.641	0.58932	0.9961	0.52153	0.94221
CD46	10	0.050453	0.77308	0.63539	0.9961	0.43948	0.92978
PIP5K1B	10	0.017326	0.18476	0.87861	0.9961	0.85342	0.99498
TEX14	10	-0.10918	-1.3158	0.29617	0.98166	0.18823	0.84388
PPP1R15B	10	0.15547	1.3353	0.12053	0.81143	0.18176	0.83494
KCNC4	10	-0.1198	-1.3673	0.24666	0.94108	0.17155	0.82859
EIF2AK1	10	0.11831	1.1357	0.24666	0.94108	0.2561	0.87765
PLEKHA4	10	0.0097742	0.11475	0.94705	0.9965	0.90864	0.99649
CINP	10	0.11811	0.94409	0.24709	0.94108	0.34512	0.9042
TRIO	10	-0.1141	-1.2075	0.2712	0.9633	0.22723	0.87765
CYC1	10	0.059778	0.47797	0.56393	0.9961	0.63267	0.96319
RDH14	10	0.078038	0.81806	0.44899	0.9961	0.41332	0.92978
FBP2	10	0.01278	0.1503	0.92294	0.9965	0.88053	0.99498
TXK	10	-0.093903	-1.1706	0.37107	0.9961	0.24175	0.87765
CBS	10	-0.14568	-1.6869	0.16444	0.86696	0.09162	0.74663
NAGS	10	0.16835	1.3798	0.093844	0.77817	0.16764	0.82859
FXYD2	8	-0.026379	-0.31667	0.82049	0.9961	0.75149	0.97983
ALDH1B1	10	0.15888	1.4723	0.11408	0.79819	0.14095	0.82859
TK2	10	0.06605	0.6839	0.52174	0.9961	0.49404	0.93351
ADRBK2	10	-0.18054	-2.151	0.092553	0.77817	0.031478	0.64841
B4GALT2	10	-0.016673	-0.27149	0.85708	0.9961	0.78602	0.98062
GART	10	-0.098258	-0.7894	0.34955	0.9961	0.42988	0.92978
PPP1R16B	10	-0.029301	-0.35353	0.7684	0.9961	0.72369	0.97983
EPHA7	10	0.10425	1.0278	0.31124	0.98795	0.30404	0.90162
CSF2RA	10	0.10938	1.4008	0.28713	0.97944	0.16127	0.82859
CRB2	10	-0.048931	-0.48637	0.63108	0.9961	0.62671	0.96319
RLBP1	10	0.031123	0.37977	0.77056	0.9961	0.70411	0.97862
CDKN1C	10	0.051924	0.7358	0.62635	0.9961	0.46185	0.92978
ADAM33	10	0.047839	0.60046	0.65303	0.9961	0.5482	0.95407
PPP2R2D	10	0.031769	0.2688	0.76582	0.9961	0.78808	0.98111
PLAUR	10	-0.11605	-1.2634	0.26216	0.95305	0.20646	0.86343
PDE4B	10	-0.10416	-0.78743	0.31769	0.98795	0.43103	0.92978
UCK2	10	0.027659	0.28145	0.7994	0.9961	0.77837	0.97983
INPP5B	10	-0.172	-2.5714	0.10676	0.79758	0.010129	0.50142
PTH1R	10	0.064314	0.51766	0.53293	0.9961	0.6047	0.95942
PBK	10	0.061089	0.60751	0.5579	0.9961	0.54351	0.95407
GYG1	10	-0.16086	-2.0016	0.12742	0.82561	0.045333	0.67799
ISPD	10	0.012305	0.092431	0.92811	0.9965	0.92636	0.99649
AMN	10	0.073363	0.77304	0.47869	0.9961	0.4395	0.92978
CDKN3	10	0.024646	0.32339	0.82393	0.9961	0.7464	0.97983
PTPRE	10	0.035567	0.3168	0.73698	0.9961	0.75139	0.97983
NDUFB1	10	0.040062	0.40482	0.70555	0.9961	0.68561	0.97862
APCS	10	0.058593	0.54045	0.57297	0.9961	0.58889	0.95942
ASPA	10	-0.024729	-0.15121	0.80284	0.9961	0.87981	0.99498
MAST1	10	0.10308	1.207	0.31683	0.98795	0.22744	0.87765
MB	10	-0.022918	-0.22345	0.81403	0.9961	0.82319	0.98979
NDUFS2	10	-0.035876	-0.30147	0.71416	0.9961	0.76306	0.97983
PFKFB3	10	0.037459	0.12265	0.72191	0.9961	0.90238	0.99649
CXCR1	10	-0.1405	-1.4243	0.17994	0.87247	0.15436	0.82859
NGF	10	0.12134	1.5814	0.23031	0.93043	0.11379	0.78673
PRPF4B	10	-0.14524	-1.2836	0.16616	0.86696	0.1993	0.85549
IP6K1	10	0.073792	0.60342	0.47439	0.9961	0.54623	0.95407
ABL2	10	0.020348	0.21817	0.85837	0.9961	0.8273	0.99267
PAM	10	-0.062485	-0.47273	0.54283	0.9961	0.63641	0.96319
CD3D	10	-0.28374	-2.8235	0.011623	0.48214	0.0047497	0.47992
IGF1R	10	-0.2851	-3.4558	0.011192	0.48148	0.00054874	0.1821
FECH	10	0.10356	1.1726	0.31382	0.98795	0.24097	0.87765
SLC25A12	10	-0.037074	-0.37481	0.70728	0.9961	0.7078	0.97862
CDK16	10	-0.020392	-0.22455	0.83297	0.9961	0.82233	0.98979
CALM1	10	0.031067	0.26424	0.77056	0.9961	0.7916	0.98253
FRK	10	0.036781	0.45148	0.72708	0.9961	0.65165	0.97037
ACADSB	10	-0.051137	-0.71612	0.61472	0.9961	0.47391	0.92978
ACACA	10	0.12415	1.0918	0.21782	0.91577	0.27492	0.88621
HCN2	10	-0.13261	-1.834	0.20491	0.91013	0.066647	0.70695
MAP3K12	10	-0.051503	-0.57837	0.613	0.9961	0.56302	0.95942
P4HTM	10	-0.212	-2.2911	0.047353	0.67901	0.021959	0.5668
MAPK8IP3	10	-0.059467	-0.93525	0.5622	0.9961	0.34966	0.9042
KCNQ2	10	0.18481	1.419	0.065863	0.72857	0.15589	0.82859
TRIB2	10	0.060473	0.82031	0.56134	0.9961	0.41204	0.92978
SLC1A7	10	-0.031477	-0.37693	0.75248	0.9961	0.70623	0.97862
ARL3	10	0.087851	0.98647	0.39217	0.9961	0.3239	0.90162
PPIF	10	0.010092	0.10639	0.94533	0.9965	0.91528	0.99649
LIPF	10	0.10218	0.97073	0.32028	0.99068	0.33168	0.9042
CDC14B	10	-0.016405	-0.23775	0.85751	0.9961	0.81208	0.98664
HTR4	10	-0.065995	-0.91763	0.52002	0.9961	0.35881	0.90897
AKT3	10	0.18806	1.4035	0.065002	0.72857	0.16046	0.82859
RSL24D1	10	-0.31687	-1.8904	0.0051657	0.29268	0.058701	0.70695
SCN2A	10	0.06537	0.49416	0.52518	0.9961	0.62119	0.96223
ARF1	10	0.060316	0.41585	0.5622	0.9961	0.67752	0.97862
SLC1A3	10	-0.082563	-0.85652	0.43435	0.9961	0.39171	0.92685
RYK	10	-0.04897	-0.44049	0.63065	0.9961	0.65958	0.97227
MOK	10	0.034129	0.4615	0.74989	0.9961	0.64444	0.96531
CKMT2	10	-0.025766	-0.24235	0.79552	0.9961	0.80851	0.98644
CAMKK2	10	0.15165	1.6478	0.13	0.82561	0.099396	0.75284
CA3	10	-0.041358	-0.55338	0.678	0.9961	0.58001	0.95942
HPRT1	10	-0.059775	-0.54523	0.56005	0.9961	0.5856	0.95942
GNB1	10	0.042922	0.50655	0.68575	0.9961	0.61247	0.95959
MARCKS	10	0.13249	0.95355	0.18898	0.87723	0.34031	0.9042
CYP2C9	10	0.0028804	0.052474	0.99785	0.99871	0.95815	0.99869
TNK1	10	-0.011825	-0.14552	0.88851	0.9965	0.8843	0.99498
RAF1	10	-0.13572	-1.2913	0.19544	0.88845	0.19659	0.84727
PDGFRB	10	-0.0069603	-0.076019	0.92467	0.9965	0.9394	0.99649
P4HA2	10	-0.021239	-0.15152	0.82652	0.9961	0.87957	0.99498
TRIM28	10	-0.1598	-2.0719	0.13043	0.82561	0.038272	0.6718
INPP5D	10	0.0075347	0.086683	0.96384	0.9965	0.93092	0.99649
NT5C2	10	-0.078415	-0.86379	0.45502	0.9961	0.3877	0.92685
DRD5	10	-0.002451	-0.029261	0.96298	0.9965	0.97666	0.99869
RET	10	-0.087007	-1.1424	0.41111	0.9961	0.2533	0.87765
ADRA2B	10	0.0093243	0.12834	0.94963	0.9965	0.89788	0.99649
CSNK1A1L	10	0.0068734	0.060235	0.96728	0.9965	0.95197	0.99869
PDXDC1	10	0.12202	1.4605	0.22686	0.91972	0.14415	0.82859
LALBA	10	-0.019124	-0.20579	0.84245	0.9961	0.83696	0.99419
PDP1	10	0.0019917	0.028946	0.99311	0.99827	0.97691	0.99869
TBXAS1	10	0.0075589	0.073672	0.96384	0.9965	0.94127	0.99707
AANAT	10	0.0084091	0.093051	0.95566	0.9965	0.92586	0.99649
PIK3C2A	10	0.14767	1.1115	0.14421	0.84171	0.26633	0.87765
TCN1	10	0.016532	0.1512	0.88851	0.9965	0.87982	0.99498
CACNA1A	10	-0.13557	-1.2235	0.19587	0.88867	0.22115	0.86924
TGM2	10	0.03988	0.55404	0.70728	0.9961	0.57955	0.95942
MMP1	10	-0.028022	-0.30277	0.77873	0.9961	0.76207	0.97983
NSF	10	-0.27319	-1.8595	0.015067	0.52174	0.062954	0.70695
ALPI	10	0.041551	0.64729	0.6978	0.9961	0.51744	0.94163
DPEP1	10	0.075033	0.87453	0.46621	0.9961	0.38183	0.91916
IMPA1	10	0.020734	0.19326	0.85407	0.9961	0.84675	0.99498
RPS6KA1	10	0.052389	0.52127	0.62247	0.9961	0.60218	0.95942
GAD2	10	0.25822	2.3613	0.012914	0.48387	0.018209	0.54232
PDK1	10	-0.017096	-0.20499	0.85407	0.9961	0.83758	0.99419
FARSB	10	-0.036612	-0.27991	0.70943	0.9961	0.77955	0.97983
ABCC8	10	-0.019545	-0.2278	0.83771	0.9961	0.8198	0.98979
BUB1	10	0.031034	0.2559	0.77099	0.9961	0.79803	0.98253
ADAMTS5	10	0.1293	1.6622	0.20146	0.90173	0.096479	0.74663
PRKACA	10	0.14027	1.373	0.16659	0.86696	0.16974	0.82859
CTDSPL	10	0.0071672	0.093257	0.96427	0.9965	0.9257	0.99649
PIM3	10	0.02497	0.19781	0.82092	0.9961	0.84319	0.99498
SHMT1	10	0.045008	0.53142	0.67241	0.9961	0.59513	0.95942
CD1D	10	0.028664	0.29886	0.7895	0.9961	0.76505	0.97983
PCYT1B	10	0.13458	1.1615	0.18424	0.87247	0.24544	0.87765
RPL13A	10	-0.07405	-0.67242	0.48041	0.9961	0.50132	0.93464
PPIA	10	-0.051828	-0.41411	0.61171	0.9961	0.6788	0.97862
MCCC2	10	-0.055281	-0.74588	0.59148	0.9961	0.45574	0.92978
SLC7A3	10	-0.076231	-1.172	0.46707	0.9961	0.2412	0.87765
ERN2	10	-0.065897	-0.5293	0.52088	0.9961	0.5966	0.95942
GSTA5	10	0.124	1.4162	0.21911	0.91577	0.15671	0.82859
UHMK1	10	0.063525	1.0414	0.53594	0.9961	0.29767	0.90095
PYGM	10	-0.15529	-1.7353	0.13947	0.84131	0.082685	0.7464
TRAPPC1	10	-0.34565	-2.4004	0.0021524	0.16129	0.016376	0.54153
REG1A	10	0.028693	0.4142	0.7895	0.9961	0.67873	0.97862
P2RY2	10	0.094516	1.1482	0.36074	0.9961	0.25091	0.87765
AURKB	10	-0.11639	-0.90482	0.26173	0.95305	0.36556	0.91352
NCAN	10	0.069219	0.71415	0.50323	0.9961	0.47513	0.92985
PADI4	10	0.022965	0.17993	0.83556	0.9961	0.85721	0.99498
PTGIR	10	0.086287	0.72895	0.40336	0.9961	0.46603	0.92978
FLT4	10	-0.0048173	-0.05539	0.94189	0.9965	0.95583	0.99869
GPX8	10	0.053028	0.37957	0.61774	0.9961	0.70426	0.97862
PPP2R2B	10	0.074	1.2511	0.47396	0.9961	0.2109	0.86446
PTGFR	10	-0.055831	-0.86899	0.58545	0.9961	0.38485	0.92536
AAK1	10	-0.17986	-1.6186	0.093414	0.77817	0.10554	0.76545
C4B	10	-0.039489	-0.28505	0.69307	0.9961	0.77561	0.97983
AK1	10	-0.082579	-1.1097	0.43392	0.9961	0.26711	0.87765
ACSS2	10	0.043366	0.25774	0.68403	0.9961	0.7966	0.98253
ALDH4A1	10	-0.18431	-2.0804	0.085665	0.77817	0.037486	0.66586
PDE8B	10	0.091596	1.1063	0.37581	0.9961	0.26858	0.87832
GGCX	10	-0.053497	-0.62768	0.60396	0.9961	0.53022	0.94745
ETNK1	10	-0.0044956	-0.043791	0.94662	0.9965	0.96507	0.99869
GRK1	10	0.078376	0.98986	0.44641	0.9961	0.32224	0.90162
IRAK4	10	0.060508	0.8274	0.56091	0.9961	0.40801	0.92978
CLK1	10	-0.095322	-1.3895	0.36246	0.9961	0.16468	0.82859
PPAT	10	-0.0029981	-0.033752	0.95781	0.9965	0.97307	0.99869
CROT	10	0.0040304	0.037618	0.98838	0.99784	0.96999	0.99869
PLK4	10	0.094692	0.64441	0.36031	0.9961	0.51931	0.94185
MAP3K11	10	-0.014083	-0.21355	0.87043	0.9961	0.8309	0.99322
PIP5K1C	10	-0.25343	-2.3876	0.021524	0.57471	0.016959	0.54153
SEC14L4	10	-0.027144	-0.2325	0.78476	0.9961	0.81615	0.989
RPL19	10	-0.0076095	-0.05268	0.92079	0.9965	0.95799	0.99869
B2M	10	-0.12836	-1.3929	0.21739	0.91577	0.16364	0.82859
DNASE1	10	-0.089969	-0.98057	0.39217	0.9961	0.3268	0.90162
HPX	10	0.10208	1.0064	0.32114	0.99072	0.31425	0.90162
DDAH2	10	0.15701	1.8456	0.11795	0.80994	0.064945	0.70695
CDKL2	10	0.041137	0.35467	0.69953	0.9961	0.72284	0.97983
GPX7	10	-0.03808	-0.41876	0.70125	0.9961	0.67539	0.97862
TLR7	10	-0.036216	-0.63662	0.71201	0.9961	0.52437	0.94221
TRRAP	10	-0.12322	-0.97408	0.23547	0.93664	0.33002	0.9042
CAST	10	0.013669	0.17286	0.9096	0.9965	0.86276	0.99498
ALDH9A1	10	0.11681	0.96815	0.25441	0.95305	0.33297	0.9042
OPLAH	10	0.12819	1.1973	0.20577	0.91221	0.23119	0.87765
ARPC3	10	0.34587	2.2379	0.0012914	0.15789	0.025227	0.59321
SELE	10	0.020818	0.1726	0.85321	0.9961	0.86296	0.99498
NUCKS1	10	0.058168	0.5183	0.57469	0.9961	0.60425	0.95942
GABRA4	10	-0.059554	-0.91937	0.56134	0.9961	0.3579	0.90864
RDH13	10	-0.011047	-0.14492	0.89582	0.9965	0.88477	0.99498
AVPR1A	10	0.083065	0.73822	0.42101	0.9961	0.46038	0.92978
CAMK2A	10	0.0027301	0.037308	0.99828	0.99871	0.97024	0.99869
EPHA8	10	0.084994	0.77288	0.41111	0.9961	0.4396	0.92978
SCN9A	10	-0.031394	-0.40354	0.75334	0.9961	0.68655	0.97862
RAB5A	10	-0.028199	-0.3045	0.77572	0.9961	0.76074	0.97983
HLA-B	10	0.098107	0.86228	0.34137	0.9961	0.38853	0.92685
SIK3	10	0.075216	0.57745	0.46492	0.9961	0.56364	0.95942
MMP3	10	0.019988	0.21155	0.86139	0.9961	0.83246	0.99322
MAP4K4	10	0.16448	1.4263	0.10202	0.78477	0.15379	0.82859
GUK1	10	-0.28807	-2.578	0.010331	0.45283	0.0099364	0.50142
AFG3L2	10	-0.054078	-0.47261	0.60009	0.9961	0.63649	0.96319
PYCR1	10	-0.031283	-0.28842	0.75377	0.9961	0.77302	0.97983
PADI3	10	-0.096185	-1.0768	0.35859	0.9961	0.28155	0.89262
EPHA6	10	-0.0071607	-0.078996	0.92424	0.9965	0.93704	0.99649
MBL2	10	0.035166	0.5108	0.74042	0.9961	0.60949	0.95959
CAMK2N1	10	0.17263	1.4496	0.086526	0.77817	0.14716	0.82859
LRP1	10	-0.044862	-0.57949	0.65347	0.9961	0.56226	0.95942
RPS6KA2	10	-0.098391	-1.5907	0.34826	0.9961	0.11167	0.78673
CP	10	-0.046064	-0.66375	0.64744	0.9961	0.50685	0.93818
NADSYN1	10	-0.043226	-0.33665	0.66509	0.9961	0.73638	0.97983
BDKRB2	8	-0.22339	-1.6583	0.061558	0.72857	0.09725	0.74663
OPRK1	10	-0.004365	-0.040435	0.94662	0.9965	0.96775	0.99869
ADC	10	0.023543	0.15172	0.83211	0.9961	0.87941	0.99498
MYO1D	10	0.089593	1.0374	0.38356	0.9961	0.29954	0.90127
ALAS2	10	0.037336	0.56501	0.72234	0.9961	0.57206	0.95942
MAPK3	10	0.0049414	0.060344	0.9802	0.9965	0.95188	0.99869
INPP5E	10	0.083393	1.2482	0.41972	0.9961	0.21195	0.86446
PRKAR1A	10	0.094555	0.95567	0.36074	0.9961	0.33924	0.9042
CDK1	10	-0.13039	-0.75862	0.21136	0.91577	0.44808	0.92978
IGFBP7	10	-0.10605	-1.1776	0.30865	0.98795	0.23897	0.87765
SLC6A7	10	0.084096	0.93991	0.41627	0.9961	0.34726	0.9042
REN	10	-0.062842	-0.4873	0.54111	0.9961	0.62604	0.96319
PRSS1	10	-0.13056	-1.1433	0.21136	0.91577	0.2529	0.87765
ESD	10	-0.10955	-0.82282	0.29445	0.98166	0.41061	0.92978
GABRG1	10	-0.1026	-0.85399	0.32673	0.99606	0.39311	0.92804
PANK1	10	0.05004	0.68158	0.63926	0.9961	0.4955	0.93351
ITPKA	10	-0.0010766	-0.01364	0.97116	0.9965	0.98912	1
GABRR2	10	-0.1256	-1.0419	0.22686	0.91972	0.29748	0.90095
KCNK6	10	0.11788	1.5815	0.24752	0.94108	0.11377	0.78673
TUBA8	10	-0.010022	-0.083201	0.90271	0.9965	0.93369	0.99649
GK	10	-0.08277	-0.81319	0.43306	0.9961	0.41611	0.92978
VWF	10	-0.048349	-0.62433	0.63323	0.9961	0.53241	0.94911
AATK	10	-0.082571	-0.71577	0.43435	0.9961	0.47413	0.92978
VDAC3	10	0.054401	0.43991	0.60482	0.9961	0.66001	0.97227
HTR2B	10	-0.097298	-0.72761	0.35471	0.9961	0.46685	0.92978
PPP1R12B	10	0.02375	0.2627	0.83125	0.9961	0.79278	0.98253
ANKK1	10	0.020735	0.2454	0.85407	0.9961	0.80615	0.98538
TAF1L	10	-0.085371	-0.68152	0.42273	0.9961	0.49554	0.93351
VTN	5	0.15411	1.3592	0.291	0.98166	0.17407	0.82859
CPS1	10	-0.0052953	-0.068793	0.93844	0.9965	0.94515	0.99709
CALY	10	0.045148	0.50848	0.67198	0.9961	0.61111	0.95959
PAPOLA	10	0.059941	0.65887	0.56393	0.9961	0.50998	0.93987
PANX1	10	0.082095	0.52436	0.42531	0.9961	0.60003	0.95942
MVK	10	-0.20984	-1.8252	0.049505	0.68047	0.067972	0.71075
ESRRG	10	0.046847	0.5445	0.66164	0.9961	0.58609	0.95942
CYP2C18	10	0.014347	0.14619	0.90357	0.9965	0.88377	0.99498
HSD17B6	10	-0.023868	-0.2566	0.80887	0.9961	0.79749	0.98253
GABRB1	10	-0.081565	-0.60928	0.43909	0.9961	0.54234	0.95407
KDR	10	-0.032992	-0.29584	0.73999	0.9961	0.76735	0.97983
PRKAA1	10	0.094569	1.1972	0.36031	0.9961	0.23123	0.87765
SMG1	10	-0.14633	-1.4541	0.16358	0.86696	0.14593	0.82859
LTA	10	-0.0007441	-0.0086128	0.97374	0.9965	0.99313	1
NMNAT1	10	-0.17064	-1.4738	0.10848	0.79758	0.14053	0.82859
MYL12A	10	-0.090235	-0.83036	0.39087	0.9961	0.40633	0.92978
MERTK	10	-0.075045	-0.98066	0.47266	0.9961	0.32676	0.90162
HTR1B	10	0.01854	0.21726	0.86913	0.9961	0.828	0.99301
MELK	10	0.0018109	0.023728	0.99096	0.99784	0.98107	0.99869
RPL10L	10	0.084891	0.47088	0.41154	0.9961	0.63773	0.96323
IL3RA	10	0.059645	0.4243	0.56522	0.9961	0.67135	0.97862
SLC6A9	10	0.050687	0.49465	0.63366	0.9961	0.62085	0.96223
CHKA	10	-0.022477	-0.25489	0.81576	0.9961	0.79881	0.98253
KCNQ1	10	-0.15927	-1.7239	0.13043	0.82561	0.08472	0.7464
HAGH	10	0.14073	1.8928	0.16487	0.86696	0.058379	0.70695
PHGDH	10	0.082267	0.64048	0.42402	0.9961	0.52186	0.94221
PROS1	10	-0.01508	-0.1458	0.86655	0.9961	0.88408	0.99498
SCN11A	10	-0.063892	-0.79886	0.53508	0.9961	0.42437	0.92978
IDH3G	10	-0.15089	-2.005	0.15024	0.85854	0.044963	0.67799
PACSIN2	10	-0.084665	-1.1512	0.42402	0.9961	0.24964	0.87765
DTYMK	10	-0.26502	-2.4517	0.017219	0.55556	0.014218	0.54146
CSNK1E	10	0.026501	0.30388	0.8093	0.9961	0.76122	0.97983
NPPB	10	0.11475	1.3086	0.26173	0.95305	0.19066	0.84388
GATM	10	0.067756	0.78222	0.51055	0.9961	0.43409	0.92978
DUSP14	10	-0.0095079	-0.15204	0.90659	0.9965	0.87915	0.99498
TPH1	10	0.0061719	0.071608	0.97073	0.9965	0.94291	0.99709
HLA-A	10	0.15205	1.8358	0.12957	0.82561	0.066382	0.70695
VRK1	10	-0.23142	-1.9402	0.033147	0.63235	0.052357	0.70695
IKBKAP	10	-0.12786	-1.1817	0.21997	0.91577	0.23733	0.87765
METAP2	10	-0.08465	-0.5017	0.42402	0.9961	0.61588	0.95959
CLC	10	0.16125	1.4174	0.10891	0.79758	0.15638	0.82859
GRIK3	10	-0.079755	-0.81372	0.44813	0.9961	0.4158	0.92978
METAP1	10	-0.056693	-0.29393	0.57899	0.9961	0.76881	0.97983
ABAT	10	-0.016711	-0.10771	0.85708	0.9961	0.91423	0.99649
ACAT1	10	-0.055167	-0.63388	0.59191	0.9961	0.52616	0.94311
TRIM24	10	-0.26697	-2.8605	0.016789	0.55556	0.0042299	0.47992
ITGAL	10	0.029547	0.28813	0.78132	0.9961	0.77324	0.97983
ETFDH	10	0.068319	0.76084	0.5071	0.9961	0.44675	0.92978
HMGCS1	10	0.17682	0.98174	0.079208	0.77637	0.32623	0.90162
CYP4A11	10	0.037428	0.31664	0.72234	0.9961	0.75152	0.97983
CIB2	10	0.1043	1.3092	0.31124	0.98795	0.19047	0.84388
CDK12	10	-0.20532	-1.8654	0.055532	0.72472	0.062123	0.70695
STK11IP	10	-0.061939	-0.60778	0.54671	0.9961	0.54333	0.95407
GSTK1	10	0.0082347	0.13389	0.95738	0.9965	0.89349	0.99498
PPAP2C	10	-0.16962	-2.6368	0.11106	0.79758	0.0083684	0.49845
STK32A	10	-0.067685	-0.52369	0.51055	0.9961	0.60049	0.95942
PKDCC	10	-0.038888	-0.44671	0.69651	0.9961	0.65509	0.97152
SCN2B	10	-0.22587	-2.1665	0.036591	0.63235	0.030273	0.63931
CNKSR1	10	-0.0068916	-0.090735	0.92553	0.9965	0.9277	0.99649
CHRNA4	10	0.0059188	0.075174	0.97245	0.9965	0.94008	0.99649
MAP4K5	10	0.1358	1.0507	0.1808	0.87247	0.29339	0.89496
KIF5B	10	-0.047712	-0.45253	0.63668	0.9961	0.65089	0.97037
FDXR	10	0.018677	0.1873	0.86913	0.9961	0.85143	0.99498
PSKH1	10	-0.03557	-0.39399	0.71804	0.9961	0.69359	0.97862
RPL8	10	-0.034162	-0.2389	0.73009	0.9961	0.81118	0.98654
EGLN2	10	0.058367	0.48328	0.57383	0.9961	0.6289	0.96319
NDST1	10	0.040787	0.60512	0.70125	0.9961	0.5451	0.95407
AKAP12	10	0.097908	1.3622	0.3418	0.9961	0.17315	0.82859
BPHL	10	-0.045493	-0.35587	0.65045	0.9961	0.72194	0.97983
APOH	10	-0.058126	-0.74948	0.56823	0.9961	0.45357	0.92978
ZMYND8	10	0.024407	0.23267	0.82609	0.9961	0.81602	0.989
MAPK14	10	0.035992	0.35245	0.73396	0.9961	0.7245	0.97983
KCNK1	10	-0.00047426	-0.005969	0.97503	0.9965	0.99524	1
TRPM6	10	0.025638	0.38922	0.81705	0.9961	0.69711	0.97862
SLC2A2	10	0.00031332	0.0039868	0.98063	0.9965	0.99682	1
SGK223	10	0.17553	1.6126	0.08136	0.77642	0.10684	0.76837
CA8	10	-0.0030453	-0.032163	0.95738	0.9965	0.97434	0.99869
NARS	10	-0.41789	-2.9729	0	0	0.0029504	0.47992
CANT1	10	-0.10481	-1.4352	0.31554	0.98795	0.15124	0.82859
MMP25	10	-0.036231	-0.44447	0.71201	0.9961	0.6567	0.97167
CDK8	10	0.031386	0.34457	0.76797	0.9961	0.73042	0.97983
TAS1R2	10	0.02379	0.28937	0.83039	0.9961	0.7723	0.97983
PRKCE	10	-0.029345	-0.38965	0.76797	0.9961	0.6968	0.97862
LRAT	10	-0.066577	-0.68891	0.51743	0.9961	0.49088	0.93318
ENO3	10	-0.010113	-0.13783	0.90228	0.9965	0.89038	0.99498
JAK3	10	-0.095176	-1.0934	0.36461	0.9961	0.27423	0.88621
PAH	10	-0.10581	-1.1877	0.30951	0.98795	0.23495	0.87765
PTPN11	10	-0.32629	-3.5625	0.0043048	0.26316	0.00036738	0.1821
CDK5R2	10	0.082467	0.82922	0.42316	0.9961	0.40698	0.92978
TUFM	10	-0.19209	-1.6804	0.073612	0.76339	0.092871	0.74663
SLC25A15	10	0.010546	0.1507	0.94275	0.9965	0.88021	0.99498
PPP2R5E	10	-0.24069	-1.738	0.027981	0.61905	0.082206	0.7464
CRP	10	-0.028443	-0.29633	0.77271	0.9961	0.76698	0.97983
CAPNS1	10	-0.12258	-1.4927	0.23719	0.93718	0.13552	0.82859
INS	6	-0.033817	-0.35238	0.79552	0.9961	0.72455	0.97983
PFKP	10	-0.0080148	-0.11174	0.91821	0.9965	0.91103	0.99649
NEK2	10	0.031263	0.47424	0.77012	0.9961	0.63533	0.96319
